-- SHOP

sid;nazwa;kierownik
331;20211228;1;18
332;20211228;1;76
333;20211228;4;70
333;20211228;4;40
334;20211228;1;43
334;20211228;1;44
334;20211228;1;15
334;20211228;1;31
334;20211228;1;3
334;20211228;1;22
334;20211228;1;20
335;20211228;1;25
335;20211228;1;30
336;20211228;4;21
336;20211228;4;25
336;20211228;4;64
336;20211228;4;62
336;20211228;4;56
336;20211228;4;23
336;20211228;4;32
336;20211228;4;52
336;20211228;4;39
336;20211228;4;61
337;20211228;1;63
338;20211228;1;40
338;20211228;1;63
338;20211228;1;61
339;20211228;1;54
339;20211228;1;35
339;20211228;1;86
339;20211228;1;4
339;20211228;1;40
339;20211228;1;30
340;20211228;4;3
340;20211228;4;77
341;20211228;1;35
341;20211228;1;7
341;20211228;1;84
341;20211228;1;40
342;20211228;2;27
342;20211228;2;23
342;20211228;2;30
343;20211228;1;43
343;20211228;1;89
343;20211228;1;101
344;20211228;2;9
345;20211228;1;28
345;20211228;1;30
345;20211228;1;71
345;20211228;1;12
346;20211228;2;15
346;20211228;2;41
346;20211228;2;12
347;20211228;2;23
347;20211228;2;70
347;20211228;2;93
348;20211228;2;63
349;20211228;2;17
349;20211228;2;63
350;20211228;1;1
350;20211228;1;35
350;20211228;1;30
351;20211228;2;57
351;20211228;2;35
351;20211228;2;16
351;20211228;2;10
352;20211228;2;35
352;20211228;2;12
353;20211228;3;39
353;20211228;3;47
354;20211228;1;15
354;20211228;1;3
354;20211228;1;40
355;20211228;1;44
355;20211228;1;39
355;20211228;1;12
356;20211228;4;41
356;20211228;4;30
356;20211228;4;63
357;20211228;4;34
357;20211228;4;44
357;20211228;4;23
357;20211228;4;12
357;20211228;4;18
357;20211228;4;77
358;20211228;1;62
358;20211228;1;41
358;20211228;1;80
358;20211228;1;5
358;20211228;1;13
358;20211228;1;40
358;20211228;1;30
358;20211228;1;39
358;20211228;1;18
358;20211228;1;63
359;20211228;2;30
359;20211228;2;39
360;20211228;2;15
360;20211228;2;31
361;20211228;1;34
361;20211228;1;35
361;20211228;1;26
361;20211228;1;40
361;20211228;1;110
362;20211228;3;13
362;20211228;3;28
363;20211228;1;28
363;20211228;1;41
363;20211228;1;10
364;20211228;1;56
365;20211228;4;12
365;20211228;4;47
365;20211228;4;10
365;20211228;4;94
366;20211228;1;30
367;20211228;3;15
368;20211228;3;63
369;20211228;2;57
369;20211228;2;64
369;20211228;2;29
369;20211228;2;7
369;20211228;2;15
369;20211228;2;103
369;20211228;2;97
369;20211228;2;19
370;20211228;1;35
370;20211228;1;26
371;20211228;4;26
371;20211228;4;40
371;20211228;4;58
372;20211228;1;109
373;20211228;4;40
373;20211228;4;77
374;20211228;2;1
374;20211228;2;29
374;20211228;2;35
374;20211228;2;22
374;20211228;2;41
374;20211228;2;18
374;20211228;2;10
375;20211228;1;48
375;20211228;1;62
375;20211228;1;35
375;20211228;1;15
375;20211228;1;23
376;20211228;4;7
376;20211228;4;111
377;20211228;2;35
377;20211228;2;38
378;20211228;1;30
379;20211228;4;15
379;20211228;4;26
379;20211228;4;19
379;20211228;4;38
379;20211228;4;40
379;20211228;4;18
379;20211228;4;71
380;20211228;1;65
380;20211228;1;26
381;20211228;4;1
381;20211228;4;80
381;20211228;4;23
381;20211228;4;30
382;20211228;2;39
383;20211228;2;14
384;20211228;1;30
385;20211228;4;34
385;20211228;4;15
385;20211228;4;27
385;20211228;4;13
385;20211228;4;52
385;20211228;4;12
386;20211228;3;30
386;20211228;3;14
387;20211228;3;13
387;20211228;3;40
387;20211228;3;30
387;20211228;3;72
388;20211228;2;12
388;20211228;2;67
388;20211228;2;105
389;20211228;1;34
389;20211228;1;62
389;20211228;1;15
389;20211228;1;16
389;20211228;1;13
389;20211228;1;46
389;20211228;1;12
389;20211228;1;93
389;20211228;1;105
390;20211228;1;57
390;20211228;1;44
390;20211228;1;15
390;20211228;1;22
391;20211228;2;1
391;20211228;2;40
391;20211228;2;98
392;20211228;2;25
393;20211228;2;25
393;20211228;2;23
394;20211228;2;25
394;20211228;2;34
394;20211228;2;44
394;20211228;2;31
394;20211228;2;84
394;20211228;2;86
394;20211228;2;56
394;20211228;2;23
394;20211228;2;10
394;20211228;2;61
394;20211228;2;12
395;20211228;4;35
396;20211228;1;26
396;20211228;1;18
396;20211228;1;11
397;20211228;1;21
397;20211228;1;15
397;20211228;1;26
397;20211228;1;28
397;20211228;1;73
397;20211228;1;40
397;20211228;1;30
398;20211228;2;15
399;20211228;1;44
399;20211228;1;15
399;20211228;1;31
399;20211228;1;70
399;20211228;1;40
400;20211227;1;15
401;20211227;3;62
401;20211227;3;35
402;20211227;4;50
402;20211227;4;18
403;20211227;2;82
404;20211227;2;48
404;20211227;2;56
405;20211227;1;94
406;20211227;2;23
406;20211227;2;30
406;20211227;2;11
407;20211227;1;37
408;20211227;1;37
409;20211227;4;35
409;20211227;4;31
409;20211227;4;4
409;20211227;4;19
409;20211227;4;30
409;20211227;4;63
409;20211227;4;112
409;20211227;4;59
410;20211227;1;37
411;20211227;2;31
411;20211227;2;20
411;20211227;2;23
411;20211227;2;79
411;20211227;2;81
412;20211227;2;40
412;20211227;2;18
412;20211227;2;11
413;20211227;3;35
413;20211227;3;15
413;20211227;3;26
413;20211227;3;56
413;20211227;3;40
413;20211227;3;30
414;20211227;1;15
415;20211227;2;64
415;20211227;2;34
415;20211227;2;65
415;20211227;2;15
415;20211227;2;31
415;20211227;2;26
415;20211227;2;20
415;20211227;2;2
416;20211227;4;21
416;20211227;4;23
417;20211227;1;30
418;20211227;2;18
418;20211227;2;8
419;20211227;1;44
419;20211227;1;15
419;20211227;1;40
419;20211227;1;77
420;20211227;4;16
420;20211227;4;63
420;20211227;4;33
420;20211227;4;67
420;20211227;4;61
420;20211227;4;11
421;20211227;1;27
422;20211227;3;48
422;20211227;3;62
422;20211227;3;35
422;20211227;3;56
422;20211227;3;102
422;20211227;3;42
422;20211227;3;38
422;20211227;3;10
423;20211227;1;62
423;20211227;1;35
423;20211227;1;15
423;20211227;1;26
423;20211227;1;18
423;20211227;1;39
424;20211227;4;37
425;20211227;2;16
425;20211227;2;63
426;20211227;1;37
427;20211227;1;11
428;20211227;1;23
429;20211227;2;48
429;20211227;2;84
429;20211227;2;71
430;20211227;3;44
430;20211227;3;15
430;20211227;3;31
430;20211227;3;96
431;20211227;4;37
432;20211227;4;60
432;20211227;4;62
432;20211227;4;16
432;20211227;4;56
432;20211227;4;39
433;20211227;3;62
433;20211227;3;7
433;20211227;3;40
433;20211227;3;20
433;20211227;3;23
434;20211227;2;1
434;20211227;2;16
434;20211227;2;23
434;20211227;2;37
434;20211227;2;71
435;20211227;1;66
435;20211227;1;83
436;20211227;1;25
436;20211227;1;15
436;20211227;1;23
436;20211227;1;38
436;20211227;1;46
436;20211227;1;63
437;20211227;3;15
437;20211227;3;93
438;20211227;4;57
438;20211227;4;34
438;20211227;4;15
438;20211227;4;31
438;20211227;4;26
438;20211227;4;86
439;20211227;1;40
439;20211227;1;70
440;20211227;4;21
440;20211227;4;87
440;20211227;4;58
441;20211227;2;9
442;20211227;3;20
442;20211227;3;70
442;20211227;3;9
443;20211227;4;62
443;20211227;4;28
444;20211227;1;23
444;20211227;1;30
445;20211227;1;35
445;20211227;1;63
445;20211227;1;93
446;20211227;3;15
446;20211227;3;104
446;20211227;3;28
446;20211227;3;70
446;20211227;3;30
447;20211227;4;25
447;20211227;4;21
447;20211227;4;34
447;20211227;4;62
447;20211227;4;15
447;20211227;4;26
447;20211227;4;23
447;20211227;4;70
447;20211227;4;77
448;20211227;1;12
448;20211227;1;8
449;20211227;1;43
449;20211227;1;23
449;20211227;1;39
450;20211227;4;37
451;20211227;4;37
452;20211227;4;37
453;20211227;1;44
453;20211227;1;15
453;20211227;1;101
454;20211227;2;57
454;20211227;2;44
454;20211227;2;35
454;20211227;2;15
454;20211227;2;31
454;20211227;2;13
454;20211227;2;41
454;20211227;2;40
454;20211227;2;30
455;20211227;4;47
456;20211227;2;64
456;20211227;2;48
456;20211227;2;1
456;20211227;2;15
456;20211227;2;89
456;20211227;2;47
457;20211227;1;21
457;20211227;1;54
457;20211227;1;35
457;20211227;1;15
457;20211227;1;26
457;20211227;1;23
457;20211227;1;30
457;20211227;1;63
457;20211227;1;56
457;20211227;1;11
458;20211227;2;30
459;20211227;3;34
459;20211227;3;31
459;20211227;3;26
459;20211227;3;23
459;20211227;3;28
459;20211227;3;40
459;20211227;3;63
459;20211227;3;111
460;20211227;2;35
461;20211227;1;64
461;20211227;1;1
461;20211227;1;31
461;20211227;1;23
461;20211227;1;42
461;20211227;1;38
461;20211227;1;9
461;20211227;1;47
461;20211227;1;11
462;20211227;1;54
462;20211227;1;57
462;20211227;1;64
462;20211227;1;1
462;20211227;1;62
462;20211227;1;35
462;20211227;1;15
462;20211227;1;92
463;20211227;4;54
463;20211227;4;48
463;20211227;4;62
463;20211227;4;7
463;20211227;4;15
463;20211227;4;40
463;20211227;4;11
464;20211227;1;40
464;20211227;1;30
464;20211227;1;93
464;20211227;1;8
464;20211227;1;11
465;20211227;4;23
466;20211227;1;70
466;20211227;1;37
467;20211227;3;57
467;20211227;3;15
467;20211227;3;70
467;20211227;3;99
468;20211227;3;44
468;20211227;3;2
468;20211227;3;70
468;20211227;3;39
468;20211227;3;11
469;20211227;1;64
469;20211227;1;1
469;20211227;1;34
469;20211227;1;26
469;20211227;1;84
469;20211227;1;16
469;20211227;1;23
469;20211227;1;40
470;20211227;1;64
470;20211227;1;1
470;20211227;1;29
470;20211227;1;28
470;20211227;1;41
470;20211227;1;12
470;20211227;1;112
471;20211227;2;23
471;20211227;2;81
472;20211227;3;1
472;20211227;3;34
472;20211227;3;65
472;20211227;3;15
472;20211227;3;40
472;20211227;3;31
472;20211227;3;20
472;20211227;3;16
472;20211227;3;113
472;20211227;3;39
473;20211227;4;54
473;20211227;4;64
473;20211227;4;65
473;20211227;4;15
473;20211227;4;5
473;20211227;4;23
473;20211227;4;78
473;20211227;4;32
473;20211227;4;42
473;20211227;4;12
473;20211227;4;83
474;20211227;1;27
474;20211227;1;70
474;20211227;1;40
475;20211227;2;64
475;20211227;2;1
475;20211227;2;35
475;20211227;2;23
476;20211227;1;43
476;20211227;1;15
476;20211227;1;13
476;20211227;1;38
477;20211227;2;48
477;20211227;2;15
477;20211227;2;42
477;20211227;2;114
477;20211227;2;95
477;20211227;2;36
477;20211227;2;101
477;20211227;2;12
477;20211227;2;63
477;20211227;2;10
477;20211227;2;11
478;20211227;1;64
478;20211227;1;1
478;20211227;1;15
478;20211227;1;56
478;20211227;1;23
478;20211227;1;70
478;20211227;1;102
478;20211227;1;88
478;20211227;1;18
479;20211227;1;62
479;20211227;1;15
479;20211227;1;47
480;20211227;2;1
480;20211227;2;34
480;20211227;2;60
480;20211227;2;35
480;20211227;2;16
480;20211227;2;92
480;20211227;2;18
480;20211227;2;49
480;20211227;2;96
480;20211227;2;33
480;20211227;2;77
480;20211227;2;66
481;20211227;1;26
481;20211227;1;40
482;20211227;1;34
482;20211227;1;62
482;20211227;1;35
482;20211227;1;20
482;20211227;1;28
482;20211227;1;101
482;20211227;1;8
483;20211227;1;25
483;20211227;1;62
483;20211227;1;11
484;20211227;1;64
484;20211227;1;35
484;20211227;1;15
484;20211227;1;28
484;20211227;1;70
484;20211227;1;71
484;20211227;1;12
485;20211227;2;12
486;20211227;2;37
487;20211227;1;23
487;20211227;1;37
488;20211227;1;35
488;20211227;1;23
488;20211227;1;54
488;20211227;1;40
488;20211227;1;30
488;20211227;1;39
488;20211227;1;72
488;20211227;1;56
488;20211227;1;77
489;20211227;2;48
489;20211227;2;35
489;20211227;2;26
489;20211227;2;23
489;20211227;2;40
490;20211227;1;25
490;20211227;1;21
490;20211227;1;56
490;20211227;1;30
490;20211227;1;67
490;20211227;1;12
491;20211227;1;63
492;20211227;1;34
492;20211227;1;56
492;20211227;1;23
492;20211227;1;70
493;20211227;1;30
494;20211227;3;25
494;20211227;3;62
494;20211227;3;50
494;20211227;3;35
494;20211227;3;13
494;20211227;3;37
495;20211227;1;40
495;20211227;1;48
495;20211227;1;65
495;20211227;1;20
495;20211227;1;95
495;20211227;1;30
495;20211227;1;37
495;20211227;1;87
495;20211227;1;61
495;20211227;1;66
496;20211227;3;12
496;20211227;3;30
497;20211227;3;15
498;20211227;2;38
499;20211227;1;34
499;20211227;1;35
500;20211226;1;54
500;20211226;1;35
501;20211226;1;41
501;20211226;1;40
501;20211226;1;37
502;20211226;1;11
503;20211226;4;23
503;20211226;4;70
503;20211226;4;11
504;20211226;1;1
504;20211226;1;35
504;20211226;1;15
504;20211226;1;31
504;20211226;1;26
504;20211226;1;115
504;20211226;1;18
504;20211226;1;8
505;20211226;2;15
505;20211226;2;23
505;20211226;2;47
506;20211226;1;25
506;20211226;1;1
506;20211226;1;22
506;20211226;1;84
506;20211226;1;23
506;20211226;1;14
506;20211226;1;12
507;20211226;3;43
507;20211226;3;35
507;20211226;3;40
507;20211226;3;20
507;20211226;3;41
507;20211226;3;30
508;20211226;2;25
508;20211226;2;1
508;20211226;2;63
508;20211226;2;71
509;20211226;1;21
509;20211226;1;50
509;20211226;1;31
509;20211226;1;26
509;20211226;1;56
509;20211226;1;12
510;20211226;1;56
511;20211226;1;15
511;20211226;1;56
511;20211226;1;23
511;20211226;1;30
512;20211226;1;23
512;20211226;1;63
512;20211226;1;11
513;20211226;2;15
513;20211226;2;86
513;20211226;2;105
514;20211226;1;21
514;20211226;1;62
514;20211226;1;35
514;20211226;1;23
514;20211226;1;30
515;20211226;2;31
515;20211226;2;22
515;20211226;2;26
515;20211226;2;27
516;20211226;2;40
517;20211226;3;64
518;20211226;2;25
518;20211226;2;48
518;20211226;2;15
518;20211226;2;23
518;20211226;2;115
519;20211226;4;21
519;20211226;4;54
519;20211226;4;34
519;20211226;4;44
519;20211226;4;70
519;20211226;4;41
519;20211226;4;12
519;20211226;4;59
519;20211226;4;83
520;20211226;4;57
520;20211226;4;15
520;20211226;4;20
520;20211226;4;27
521;20211226;1;26
521;20211226;1;70
521;20211226;1;12
522;20211226;4;15
522;20211226;4;2
522;20211226;4;38
522;20211226;4;73
522;20211226;4;47
522;20211226;4;58
522;20211226;4;12
523;20211226;4;25
523;20211226;4;43
523;20211226;4;15
523;20211226;4;26
523;20211226;4;23
523;20211226;4;70
523;20211226;4;116
523;20211226;4;41
523;20211226;4;30
523;20211226;4;18
523;20211226;4;61
524;20211226;4;64
524;20211226;4;15
524;20211226;4;28
524;20211226;4;82
524;20211226;4;11
525;20211226;3;44
525;20211226;3;35
525;20211226;3;22
525;20211226;3;41
525;20211226;3;23
526;20211226;1;21
526;20211226;1;15
526;20211226;1;23
526;20211226;1;12
526;20211226;1;56
527;20211226;2;70
527;20211226;2;12
528;20211226;1;40
528;20211226;1;64
528;20211226;1;82
529;20211226;1;62
529;20211226;1;35
529;20211226;1;15
529;20211226;1;2
529;20211226;1;16
529;20211226;1;97
529;20211226;1;5
529;20211226;1;56
530;20211226;2;15
530;20211226;2;4
530;20211226;2;23
531;20211226;1;47
532;20211226;2;23
532;20211226;2;101
533;20211226;4;90
534;20211226;2;26
534;20211226;2;75
534;20211226;2;117
534;20211226;2;109
534;20211226;2;85
535;20211226;1;34
535;20211226;1;31
535;20211226;1;2
535;20211226;1;23
535;20211226;1;30
536;20211226;1;34
537;20211226;2;31
537;20211226;2;84
537;20211226;2;51
538;20211226;2;64
538;20211226;2;29
538;20211226;2;50
538;20211226;2;23
539;20211226;2;15
539;20211226;2;28
539;20211226;2;52
539;20211226;2;38
539;20211226;2;40
539;20211226;2;61
539;20211226;2;11
540;20211226;3;57
540;20211226;3;84
540;20211226;3;40
540;20211226;3;30
540;20211226;3;37
541;20211226;1;35
541;20211226;1;31
541;20211226;1;26
541;20211226;1;24
541;20211226;1;38
541;20211226;1;85
541;20211226;1;10
542;20211226;4;23
542;20211226;4;30
542;20211226;4;18
542;20211226;4;37
542;20211226;4;39
542;20211226;4;8
542;20211226;4;12
543;20211226;1;25
543;20211226;1;44
543;20211226;1;15
543;20211226;1;23
543;20211226;1;102
544;20211226;3;26
544;20211226;3;10
544;20211226;3;11
544;20211226;3;12
545;20211226;3;15
545;20211226;3;31
545;20211226;3;2
545;20211226;3;73
545;20211226;3;12
546;20211226;3;40
546;20211226;3;77
547;20211226;1;25
547;20211226;1;64
547;20211226;1;40
548;20211226;4;23
548;20211226;4;30
548;20211226;4;12
549;20211226;2;15
549;20211226;2;70
549;20211226;2;40
549;20211226;2;10
550;20211226;2;23
551;20211226;2;40
551;20211226;2;50
551;20211226;2;35
551;20211226;2;15
551;20211226;2;28
551;20211226;2;39
551;20211226;2;93
552;20211226;1;34
552;20211226;1;50
552;20211226;1;15
552;20211226;1;40
552;20211226;1;58
553;20211226;1;21
553;20211226;1;25
553;20211226;1;35
553;20211226;1;26
553;20211226;1;28
553;20211226;1;42
553;20211226;1;10
553;20211226;1;12
554;20211226;1;21
554;20211226;1;35
554;20211226;1;15
554;20211226;1;31
554;20211226;1;86
554;20211226;1;30
554;20211226;1;77
554;20211226;1;11
555;20211226;1;84
555;20211226;1;5
555;20211226;1;18
555;20211226;1;11
556;20211226;4;23
556;20211226;4;11
557;20211226;2;37
558;20211226;2;26
558;20211226;2;9
559;20211226;1;20
559;20211226;1;9
560;20211226;4;23
560;20211226;4;37
561;20211226;1;23
562;20211226;3;27
562;20211226;3;23
563;20211226;3;23
564;20211226;2;23
564;20211226;2;12
565;20211226;1;63
566;20211226;1;1
566;20211226;1;31
566;20211226;1;26
566;20211226;1;2
566;20211226;1;23
566;20211226;1;42
566;20211226;1;40
567;20211226;1;40
567;20211226;1;30
568;20211226;1;70
569;20211226;1;56
569;20211226;1;23
569;20211226;1;70
569;20211226;1;12
569;20211226;1;59
570;20211226;4;64
570;20211226;4;44
570;20211226;4;62
570;20211226;4;23
570;20211226;4;38
571;20211226;1;80
571;20211226;1;23
571;20211226;1;40
571;20211226;1;11
572;20211226;4;34
572;20211226;4;80
572;20211226;4;23
572;20211226;4;30
573;20211226;1;7
573;20211226;1;37
573;20211226;1;59
574;20211226;1;15
574;20211226;1;26
574;20211226;1;63
574;20211226;1;39
574;20211226;1;71
574;20211226;1;61
575;20211226;1;54
575;20211226;1;64
575;20211226;1;35
575;20211226;1;15
575;20211226;1;40
575;20211226;1;56
575;20211226;1;23
576;20211226;4;50
576;20211226;4;15
576;20211226;4;63
576;20211226;4;33
576;20211226;4;47
576;20211226;4;58
577;20211226;1;25
577;20211226;1;60
577;20211226;1;35
577;20211226;1;22
577;20211226;1;84
578;20211226;4;64
578;20211226;4;23
578;20211226;4;63
579;20211226;1;64
580;20211226;1;21
580;20211226;1;63
580;20211226;1;33
581;20211226;4;40
581;20211226;4;50
581;20211226;4;65
581;20211226;4;10
582;20211226;4;37
583;20211226;1;21
583;20211226;1;62
583;20211226;1;35
583;20211226;1;15
583;20211226;1;63
583;20211226;1;111
584;20211226;1;34
584;20211226;1;15
584;20211226;1;31
584;20211226;1;26
584;20211226;1;20
585;20211226;3;25
585;20211226;3;23
585;20211226;3;30
585;20211226;3;85
585;20211226;3;11
585;20211226;3;91
586;20211226;2;21
586;20211226;2;34
586;20211226;2;78
587;20211226;1;64
587;20211226;1;34
587;20211226;1;62
587;20211226;1;26
588;20211226;1;34
588;20211226;1;70
588;20211226;1;32
588;20211226;1;96
589;20211226;1;26
590;20211226;2;25
590;20211226;2;23
590;20211226;2;89
591;20211226;2;63
592;20211226;3;60
592;20211226;3;30
593;20211226;1;27
593;20211226;1;23
594;20211226;1;31
594;20211226;1;63
594;20211226;1;83
595;20211226;3;76
595;20211226;3;41
595;20211226;3;91
596;20211226;4;21
596;20211226;4;23
596;20211226;4;30
596;20211226;4;37
596;20211226;4;12
597;20211226;1;35
598;20211226;3;3
598;20211226;3;27
598;20211226;3;40
599;20211226;4;37
600;20211225;1;12
601;20211225;1;29
601;20211225;1;35
601;20211225;1;15
601;20211225;1;20
602;20211225;1;57
602;20211225;1;34
602;20211225;1;23
602;20211225;1;78
602;20211225;1;63
602;20211225;1;11
603;20211225;4;57
603;20211225;4;64
603;20211225;4;15
603;20211225;4;56
603;20211225;4;40
603;20211225;4;63
603;20211225;4;10
604;20211225;3;40
604;20211225;3;35
604;20211225;3;7
604;20211225;3;107
604;20211225;3;16
604;20211225;3;18
605;20211225;1;116
605;20211225;1;42
606;20211225;2;23
606;20211225;2;30
606;20211225;2;9
607;20211225;1;15
608;20211225;4;57
608;20211225;4;62
608;20211225;4;15
608;20211225;4;20
609;20211225;1;23
609;20211225;1;11
610;20211225;1;60
610;20211225;1;35
610;20211225;1;79
610;20211225;1;36
610;20211225;1;58
611;20211225;1;25
611;20211225;1;1
611;20211225;1;20
611;20211225;1;41
611;20211225;1;23
611;20211225;1;46
611;20211225;1;111
611;20211225;1;61
612;20211225;1;69
612;20211225;1;62
612;20211225;1;7
612;20211225;1;26
612;20211225;1;68
612;20211225;1;16
612;20211225;1;76
612;20211225;1;30
612;20211225;1;63
613;20211225;3;50
613;20211225;3;35
613;20211225;3;32
614;20211225;1;34
614;20211225;1;15
614;20211225;1;23
615;20211225;1;35
615;20211225;1;41
615;20211225;1;88
615;20211225;1;56
615;20211225;1;105
616;20211225;1;43
616;20211225;1;25
616;20211225;1;64
616;20211225;1;35
616;20211225;1;15
616;20211225;1;83
617;20211225;2;35
617;20211225;2;15
617;20211225;2;38
617;20211225;2;63
618;20211225;4;31
619;20211225;1;21
619;20211225;1;64
619;20211225;1;35
620;20211225;2;37
620;20211225;2;33
620;20211225;2;67
621;20211225;1;43
621;20211225;1;40
621;20211225;1;1
621;20211225;1;29
621;20211225;1;50
621;20211225;1;15
621;20211225;1;31
621;20211225;1;26
621;20211225;1;16
622;20211225;1;7
622;20211225;1;15
622;20211225;1;3
622;20211225;1;26
622;20211225;1;84
622;20211225;1;38
622;20211225;1;40
622;20211225;1;8
623;20211225;2;54
623;20211225;2;23
623;20211225;2;30
623;20211225;2;9
624;20211225;3;15
624;20211225;3;3
625;20211225;1;37
626;20211225;4;40
626;20211225;4;84
626;20211225;4;23
626;20211225;4;12
626;20211225;4;8
626;20211225;4;90
627;20211225;4;23
627;20211225;4;93
627;20211225;4;11
628;20211225;1;17
628;20211225;1;40
629;20211225;1;62
629;20211225;1;35
629;20211225;1;30
629;20211225;1;12
630;20211225;1;70
631;20211225;1;25
631;20211225;1;48
631;20211225;1;15
631;20211225;1;56
631;20211225;1;23
631;20211225;1;28
631;20211225;1;38
631;20211225;1;40
631;20211225;1;91
632;20211225;4;40
632;20211225;4;60
